Instance,Clarke-Wright,Tabu search,CBC
A-n32-k05,1241.31,856.31,805.61
A-n33-k05,955.74,711.20,689.88
A-n33-k06,1167.82,759.90,801.89
A-n34-k05,1064.29,797.30,860.89
A-n36-k05,1270.16,846.89,989.09
A-n37-k05,924.69,729.25,684.62
A-n37-k06,1240.85,1009.68,1160.45
A-n38-k05,1039.29,787.51,771.72
A-n39-k05,1242.55,913.37,932.74
A-n39-k06,1139.48,905.38,960.50
A-n44-k06,1365.61,1021.90,1125.17
A-n45-k06,1500.78,1041.38,
A-n45-k07,1769.35,1232.20,1413.72
A-n46-k07,1334.44,927.89,1040.76
A-n48-k07,1516.22,1184.85,1297.78
A-n53-k07,1500.62,1101.25,
A-n54-k07,1784.21,1242.55,1799.67
A-n55-k09,1622.37,1114.19,1229.19
A-n60-k09,1872.27,1406.73,1920.04
A-n61-k09,1457.12,1138.31,
A-n62-k08,1917.72,1349.51,2003.91
A-n63-k09,2404.05,1721.92,2290.70
A-n63-k10,1876.79,1342.63,
A-n64-k09,2031.29,1520.31,1907.46
A-n65-k09,1728.50,1293.37,
A-n69-k09,1780.48,1243.74,
A-n80-k10,2369.61,1886.50,2754.77
